PassengerId,Survived_cheat,Survived_guess
893,1,0
897,1,0
899,1,0
910,0,1
911,1,0
915,1,0
926,1,0
930,1,0
932,1,0
935,0,1
938,1,0
942,0,1
949,1,0
957,0,1
958,0,1
965,0,1
971,0,1
972,0,1
978,0,1
982,1,0
987,1,0
990,0,1
995,1,0
998,1,0
999,1,0
1004,0,1
1005,0,1
1006,0,1
1011,0,1
1016,1,0
1023,1,0
1038,0,1
1047,1,0
1051,0,1
1057,1,0
1061,1,0
1069,1,0
1073,0,1
1083,1,0
1084,0,1
1091,0,1
1093,0,1
1097,1,0
1098,0,1
1099,1,0
1103,1,0
1105,0,1
1108,0,1
1115,1,0
1118,1,0
1119,0,1
1130,0,1
1134,1,0
1135,1,0
1136,0,1
1137,0,1
1138,0,1
1141,0,1
1143,1,0
1151,1,0
1152,1,0
1155,0,1
1156,1,0
1165,0,1
1171,1,0
1173,0,1
1176,0,1
1179,1,0
1182,1,0
1183,1,0
1192,1,0
1201,1,0
1203,1,0
1207,0,1
1213,1,0
1231,0,1
1233,1,0
1236,0,1
1239,1,0
1250,1,0
1259,0,1
1261,1,0
1264,1,0
1274,0,1
1275,0,1
1284,0,1
1286,1,0
1297,1,0
1301,0,1
1302,0,1
1304,0,1
